,A,B,C
0,DESC,manner,"[how, did, serfdom, develop, in, and, then, leave, russia, ?]"
1,ENTY,cremat,"[what, films, featured, the, character, popeye, doyle, ?]"
2,DESC,manner,"[how, can, i, find, a, list, of, celebrities, ', real, names, ?]"
3,ENTY,animal,"[what, fowl, grabs, the, spotlight, after, the, chinese, year, of, the, monkey, ?]"
4,ABBR,exp,"[what, is, the, full, form, of, .com, ?]"
5,HUM,ind,"[what, contemptible, scoundrel, stole, the, cork, from, my, lunch, ?]"
6,HUM,gr,"[what, team, did, baseball, 's, st., louis, browns, become, ?]"
7,HUM,title,"[what, is, the, oldest, profession, ?]"
8,DESC,def,"[what, are, liver, enzymes, ?]"
9,HUM,ind,"[name, the, scar-faced, bounty, hunter, of, the, old, west, .]"
10,NUM,date,"[when, was, ozzy, osbourne, born, ?]"
11,DESC,reason,"[why, do, heavier, objects, travel, downhill, faster, ?]"
12,HUM,ind,"[who, was, the, pride, of, the, yankees, ?]"
13,HUM,ind,"[who, killed, gandhi, ?]"
14,ENTY,event,"[what, is, considered, the, costliest, disaster, the, insurance, industry, has, ever, faced, ?]"
15,LOC,state,"[what, sprawling, u.s., state, boasts, the, most, airports, ?]"
16,DESC,desc,"[what, did, the, only, repealed, amendment, to, the, u.s., constitution, deal, with, ?]"
17,NUM,count,"[how, many, jews, were, executed, in, concentration, camps, during, wwii, ?]"
18,DESC,def,"[what, is, ``, nine, inch, nails, '', ?]"
19,DESC,def,"[what, is, an, annotated, bibliography, ?]"
20,NUM,date,"[what, is, the, date, of, boxing, day, ?]"
21,ENTY,other,"[what, articles, of, clothing, are, tokens, in, monopoly, ?]"
22,HUM,ind,"[name, 11, famous, martyrs, .]"
23,DESC,desc,"[what, 's, the, olympic, motto, ?]"
24,DESC,desc,"[what, is, the, origin, of, the, name, `, scarlett, ', ?]"
25,ENTY,letter,"[what, 's, the, second-most-used, vowel, in, english, ?]"
26,HUM,ind,"[who, was, the, inventor, of, silly, putty, ?]"
27,LOC,other,"[what, is, the, highest, waterfall, in, the, united, states, ?]"
28,ENTY,other,"[name, a, golf, course, in, myrtle, beach, .]"
29,LOC,state,"[which, two, states, enclose, chesapeake, bay, ?]"
30,ABBR,exp,"[what, does, the, abbreviation, aids, stand, for, ?]"
31,ENTY,other,"[what, does, a, spermologer, collect, ?]"
32,NUM,count,"[how, many, points, make, up, a, perfect, fivepin, bowling, score, ?]"
33,HUM,gr,"[which, company, that, manufactures, video-game, hardware, sells, the, ``, super, system, '', ?]"
34,NUM,count,"[how, many, community, chest, cards, are, there, in, monopoly, ?]"
35,DESC,desc,"[what, do, mormons, believe, ?]"
36,NUM,date,"[when, did, the, neanderthal, man, live, ?]"
