A,B
what,0.024989
showtimes,0.000090
whorehouse,0.000090
germany,0.000135
name,0.001486
where,0.011661
first,0.001126
when,0.000405
('would', 'you'),0.000225
world,0.002837
us,0.002747
which,0.001171
country,0.005583
city,0.004593
why,0.000045
people,0.000405
get,0.000946
find,0.002386
called,0.000630
state,0.002972
years,0.000090
president,0.000315
american,0.000810
war,0.000405
meaning,0.000180
two,0.001081
largest,0.002026
fear,0.000045
new,0.000585
manmade,0.000090
much,0.000045
longest,0.000450
originate,0.000495
words,0.000090
used,0.000090
tv,0.000045
company,0.000090
movies,0.000090
kind,0.000135
film,0.000090
famous,0.000180
one,0.000405
known,0.000315
take,0.000450
today,0.000090
standard,0.000135
games,0.000135
makeup,0.000090
live,0.001036
invented,0.000090
best,0.000405
book,0.000180
sometimes,0.000180
john,0.000225
colorado,0.000180
played,0.000090
man,0.000225
wrote,0.000045
come,0.000405
term,0.000045
states,0.000855
showtimes,0.000090
last,0.000180
countries,0.001216
south,0.000720
named,0.000360
american,0.000810
home,0.000720
team,0.000090
star,0.000225
oldest,0.000405
number,0.000135
difference,0.000045
character,0.000090
called,0.000630
baseball,0.000090
museum,0.000405
river,0.001216
english,0.000135
king,0.000315
died,0.000090
born,0.000495
working,0.000135
three,0.000270
song,0.000225
said,0.000180
played,0.000090
novel,0.000090
information,0.000946
highest,0.001036
four,0.000225
united,0.000540
years,0.000090
dog,0.000135
common,0.000090
college,0.000405
capital,0.001171
become,0.000045
average,0.000045
actor,0.000045
say,0.000135
population,0.000270
names,0.000180
earth,0.000270
body,0.000225
blacks,0.000090
actress,0.000090
would,0.000225
water,0.000225
sport,0.000135
mountain,0.000900
located,0.001171
group,0.000180
drinks,0.000090
computer,0.000045
california,0.000360
woman,0.000135
top,0.000270
sometimes,0.000180
north,0.000540
island,0.000855
food,0.000045
york,0.000270
space,0.000135
sea,0.000495
schoolhouse,0.000090
killed,0.000045
go,0.000315
soldiers,0.000090
animal,0.000045
university,0.000225
portrayed,0.000045
popular,0.000090
part,0.000315
money,0.000045
history,0.000135
great,0.000270
good,0.000270
subway,0.000180
makes,0.000045
language,0.000135
different,0.000045
biggest,0.000360
title,0.000135
discovered,0.000135
person,0.000090
nationality,0.000405
meaning,0.000180
longest,0.000450
internet,0.000540
horse,0.000360
cities,0.000630
mccarren,0.000315
write,0.000090
western,0.000180
major,0.000045
like,0.000135
leader,0.000135
international,0.000270
general,0.000135
french,0.000090
uptodate,0.000090
created,0.000045
spacecraft,0.000090
costa,0.000090
contains,0.000450
charles,0.000090
became,0.000135
address,0.000585
whose,0.000045
russian,0.000225
randy,0.000045
place,0.000495
miles,0.000405
online,0.000270
life,0.000045
causes,0.000045
built,0.000315
battle,0.000135
system,0.000225
seven,0.000090
secondhighest,0.000135
queen,0.000135
powerful,0.000090
moon,0.000045
little,0.000135
lawrence,0.000090
ii,0.000180
games,0.000135
found,0.000360
feet,0.000135
features,0.000135
airport,0.000720
abbreviation,0.000045
type,0.000045
someone,0.000045
san,0.000225
park,0.000585
office,0.000180
nickname,0.000225
men,0.000180
lovell,0.000090
london,0.000270
letter,0.000180
james,0.000045
human,0.000045
george,0.000270
information,0.000946
following,0.000045
five,0.000225
england,0.000225
death,0.000045
comic,0.000045
colors,0.000045
children,0.000045
british,0.000180
bridge,0.000270
boasts,0.000720
begin,0.000180
airport,0.000720
white,0.000090
washington,0.000225
television,0.000090
microsoft,0.000135
really,0.000090
product,0.000045
player,0.000045
nnp,0.000180
nixon,0.000090
letters,0.000090
kennedy,0.000180
japanese,0.000225
islands,0.000360
house,0.000180
hole,0.000135
hitler,0.000180
germany,0.000135
european,0.000585
great,0.000270
diseases,0.000090
bowl,0.000270
blood,0.000045
biggest,0.000360
baby,0.000045
area,0.000315
words,0.000090
william,0.000135
state,0.002972
spanish,0.000135
separates,0.000135
ocean,0.000540
mother,0.000090
members,0.000090
may,0.000135
married,0.000090
league,0.000045
lawyer,0.000045
highest,0.001036
held,0.000180
happened,0.000045
female,0.000045
father,0.000045
chemicals,0.000090
center,0.000360
business,0.000045
bill,0.000360
animals,0.000045
singing,0.000045
served,0.000270
series,0.000090
runs,0.000180
newspaper,0.000090
music,0.000180
lives,0.000180
known,0.000315
office,0.000180
hitler,0.000180
definition,0.000045
christmas,0.000045
building,0.000405
page,0.000180
website,0.000360
tuberculosis,0.000090
street,0.000405
travels,0.000090
tell,0.000180
superman,0.000180
store,0.000180
sports,0.000045
singer,0.000135
ship,0.000090
radio,0.000090
prime,0.000045
original,0.000135
oldest,0.000405
mississippi,0.000225
minister,0.000045
main,0.000135
indians,0.000180
greek,0.000090
girl,0.000045
seafaring,0.000090
independence,0.000135
email,0.000360
dc,0.000090
county,0.000180
cnn,0.000045
civil,0.000135
canada,0.000225
birthplace,0.000180
around,0.000135
another,0.000045
africa,0.000315
city,0.004593
windsor,0.000135
tax,0.000135
history,0.000135
soldiers,0.000090
size,0.000225
see,0.000225
saw,0.000090
role,0.000045
richard,0.000090
produces,0.000180
prizes,0.000090
pope,0.000090
percentage,0.000045
originate,0.000495
olympics,0.000225
nightmare,0.000090
musical,0.000090
marvel,0.000090
lake,0.000360
kentucky,0.000360
introduced,0.000090
indians,0.000180
founded,0.000090
former,0.000180
football,0.000045
flags,0.000135
famed,0.000405
famed,0.000405
everest,0.000180
dickens,0.000090
department,0.000180
comedian,0.000045
codes,0.000090
claims,0.000135
china,0.000090
cartoons,0.000090
card,0.000045
sheboygan,0.000090
snowboard,0.000090
bible,0.000090
beerproducing,0.000090
basketball,0.000090
basketball,0.000090
back,0.000090
headquarters,0.000360
worth,0.000090
women,0.000045
wines,0.000090
went,0.000045
website,0.000360
vietnam,0.000045
usa,0.000135
mutombo,0.000090
texas,0.000135
symbol,0.000045
strip,0.000090
street,0.000405
steven,0.000045
started,0.000045
starts,0.000090
starred,0.000045
species,0.000045
soviet,0.000045
sometimes,0.000180
six,0.000135
sioux,0.000045
shot,0.000135
rocky,0.000135
records,0.000090
organization,0.000045
needs,0.000090
mountain,0.000900
los,0.000135
overlook,0.000090
list,0.000315
